station_id,name,lat,lon,capacity,departures,member_departures,casual_departures,avg_duration_min,peak_hour_dep,arrivals,net_flow,total_activity,trips_per_dock_per_day,member_share,has_2023_trips
7041,Edward St / Yonge St,43.656729,-79.382736,23,27291,1725.0,25566.0,16.8770253929867,17.0,27540,249,54831,6.531,0.063,True
7042,Sherbourne St / Wellesley St E,43.6673,-79.374,31,25676,1871.0,23805.0,13.506051046372747,8.0,15900,-9776,41576,3.674,0.073,True
7043,Queens Quay W / Lower Simcoe St,43.63951,-79.383717,19,21132,928.0,20204.0,28.39211779923023,18.0,21784,652,42916,6.188,0.044,True
7044,Church St / Alexander St,43.663722,-79.380288,35,18987,1399.0,17588.0,12.625381401309667,18.0,15819,-3168,34806,2.725,0.074,True
7045,Bond St / Queen St E,43.653236,-79.376716,37,16840,1125.0,15715.0,13.325909540775932,16.0,28295,11455,45135,3.342,0.067,True
7046,Niagara St / Richmond St W,43.64534,-79.409597,42,17162,1111.0,16051.0,15.662519908324594,17.0,21591,4429,38753,2.528,0.065,True
7047,University Ave / Gerrard St W (East Side),43.657763,-79.389165,25,19710,1237.0,18473.0,13.546171148317267,17.0,26780,7070,46490,5.095,0.063,True
7048,Front St W / Yonge St (Hockey Hall of Fame),43.646322912152456,-79.37746467249836,47,10671,537.0,10134.0,17.25852466185612,17.0,15647,4976,26318,1.534,0.05,True
7049,Portland St / Queen St W,43.6476,-79.4015,15,8380,0.0,8380.0,14.401278838504375,17.0,8410,30,16790,3.067,0.0,True
7050,Richmond St E / Jarvis St Green P,43.652634,-79.374222,16,6977,511.0,6466.0,17.29275237685729,17.0,5007,-1970,11984,2.052,0.073,True
7052,Wellington St W / Bay St,43.647259,-79.379878,55,12709,1235.0,11474.0,16.611451202559866,17.0,17657,4948,30366,1.513,0.097,True
7053,Metro Hall Plaza,43.645859,-79.38783,27,9996,653.0,9343.0,14.959812258236628,17.0,10556,560,20552,2.085,0.065,True
7054,Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,11,14351,1171.0,13180.0,16.8189870624579,17.0,14514,163,28865,7.189,0.082,True
7055,Jarvis St / Carlton St,43.66207,-79.37617,15,14362,1065.0,13297.0,13.404475931857217,8.0,14208,-154,28570,5.218,0.074,True
7057,Simcoe St / Wellington St W South,43.6458569,-79.3853654,27,9913,595.0,9318.0,15.601772083795689,17.0,9941,28,19854,2.015,0.06,True
7058,Huron St / Harbord St,43.6637,-79.400053,39,22663,1259.0,21404.0,12.273175072438189,17.0,21447,-1216,44110,3.099,0.056,True
7059,Front St W / Blue Jays Way,43.643473,-79.390477,15,19136,1386.0,17750.0,18.13317220596433,17.0,19440,304,38576,7.046,0.072,True
7061,Dalton Rd / Bloor St W,43.6662942,-79.4066433,15,16134,1055.0,15079.0,15.895242965166728,17.0,15271,-863,31405,5.736,0.065,True
7063,Queen's Park / Bloor St W,43.668456,-79.393899,23,18601,854.0,17747.0,15.998960629356846,17.0,17305,-1296,35906,4.277,0.046,True
7064,51 Parliament St,43.652169,-79.362841,19,4776,370.0,4406.0,16.195725153545506,17.0,5209,433,9985,1.44,0.077,True
7065,Dundas St E / Parliament St,43.659575,-79.365769,15,16013,1184.0,14829.0,14.074776743895585,18.0,16383,370,32396,5.917,0.074,True
7066,Willcocks St / St. George St,43.662085,-79.397735,15,15440,1217.0,14223.0,12.260623920552677,17.0,12530,-2910,27970,5.109,0.079,True
7067,Yonge St / Lake Shore Blvd E,43.643795,-79.375413,27,9813,524.0,9289.0,19.09080131797955,18.0,10253,440,20066,2.036,0.053,True
7069,Queen St W / Spadina Ave,43.649147,-79.395504,11,14115,690.0,13425.0,21.325285157633726,17.0,14674,559,28789,7.17,0.049,True
7070,25 York St – Union Station South,43.643667,-79.380414,11,6442,476.0,5966.0,19.096256338611198,17.0,6451,9,12893,3.211,0.074,True
7071,161 Bleecker St (South of Wellesley),43.666233,-79.373327,23,5917,411.0,5506.0,13.548338121795954,8.0,4237,-1680,10154,1.21,0.069,True
7073,Spadina Ave / Fort York Blvd,43.640114,-79.393249,23,14141,877.0,13264.0,16.364593498809608,8.0,15290,1149,29431,3.506,0.062,True
7074,King St E / Church St,43.650204164723476,-79.37335141779099,55,12502,713.0,11789.0,15.306866901295793,17.0,12921,419,25423,1.266,0.057,True
7075,Queens Quay W / Dan Leckie Way,43.636533,-79.395854,27,11638,726.0,10912.0,24.736068625766165,17.0,12315,677,23953,2.431,0.062,True
7076,York St / Queens Quay W,43.640132,-79.380464,57,43541,2051.0,41490.0,25.49436852621667,17.0,54967,11426,98508,4.735,0.047,True
7077,College Park South,43.65945682499,-79.38236466864778,19,20616,1115.0,19501.0,16.905527260380286,17.0,20451,-165,41067,5.922,0.054,True
7078,College St / Major St,43.6576,-79.4032,15,29478,1701.0,27777.0,14.668672682452451,17.0,30843,1365,60321,11.018,0.058,True
7079,McGill St / Church St,43.660694,-79.379052,19,20523,1434.0,19089.0,15.682954896132793,17.0,19688,-835,40211,5.798,0.07,True
7084,High Park - Grenadier Cafe,43.645599,-79.4657123,11,3370,135.0,3235.0,29.97560830860534,16.0,3273,-97,6643,1.655,0.04,True
7085,Danforth Ave / Westlake Ave,43.687323,-79.304848,15,2442,139.0,2303.0,19.29744062244062,17.0,2057,-385,4499,0.822,0.057,True
7086,High Park - West Rd,43.651922,-79.465693,23,4728,165.0,4563.0,37.869666525662716,18.0,4378,-350,9106,1.085,0.035,True
7087,Danforth Ave / Aldridge Ave,43.684758,-79.316767,11,1933,89.0,1844.0,18.573072943610967,7.0,1866,-67,3799,0.946,0.046,True
7088,Danforth Ave / Coxwell Ave,43.683378,-79.322961,15,5504,297.0,5207.0,15.582010053294573,17.0,5139,-365,10643,1.944,0.054,True
7089,Church St  / Wood St,43.662712,-79.379903,27,25773,1743.0,24030.0,12.278489763188867,18.0,23930,-1843,49703,5.043,0.068,True
7090,Danforth Ave / Lamb Ave,43.681991,-79.329455,19,5108,333.0,4775.0,16.686044766379535,17.0,4691,-417,9799,1.413,0.065,True
7091,Donlands Subway Station,43.681114,-79.3373885,15,2994,271.0,2723.0,17.812458249833,18.0,2511,-483,5505,1.005,0.091,True
7093,Danforth Ave / Gough Ave,43.678401,-79.346289,25,5451,491.0,4960.0,14.79564300128417,18.0,5010,-441,10461,1.146,0.09,True
