AREA_NAME,coverage_pct,coverage_cat,dist_to_downtown_km
Bayview Village,0.0,None (0%),14.26
Newtonbrook East,8.2,Minimal (<10%),16.04
Bayview Woods-Steeles,0.0,None (0%),16.52
Hillcrest Village,0.0,None (0%),17.36
Alderwood,8.6,Minimal (<10%),13.65
Long Branch,77.9,High (>70%),13.61
New Toronto,61.3,Good (40–70%),11.54
Stonegate-Queensway,48.1,Good (40–70%),9.62
Kingsway South,57.4,Good (40–70%),10.29
Etobicoke West Mall,0.0,None (0%),14.99
Markland Wood,0.0,None (0%),15.43
Eringate-Centennial-West Deane,0.0,None (0%),15.95
Princess-Rosethorn,0.0,None (0%),13.17
Edenbridge-Humber Valley,25.5,Partial (10–40%),11.51
Humber Heights-Westmount,29.5,Partial (10–40%),12.25
Willowridge-Martingrove-Richview,0.0,None (0%),14.34
Kingsview Village-The Westway,4.5,Minimal (<10%),14.43
Elms-Old Rexdale,22.7,Partial (10–40%),15.66
Rexdale-Kipling,0.0,None (0%),16.98
Thistletown-Beaumond Heights,5.5,Minimal (<10%),17.63
Mount Olive-Silverstone-Jamestown,0.0,None (0%),19.77
West Humber-Clairville,0.0,None (0%),18.77
Black Creek,30.0,Partial (10–40%),17.13
Pelmo Park-Humberlea,15.7,Partial (10–40%),14.01
Humbermede,19.5,Partial (10–40%),16.63
Humber Summit,2.5,Minimal (<10%),18.6
